id,name,games_played,ppg,rpg,apg,spg,bpg,fg_pct,ft_pct,fg3_pct,career_pts,championships,role
22,Jimmy Butler III,967,18.3,5.36,4.37,1.6,0.447,0.468,0.836,0.321,17669,0,Forward
23,Tobias Harris,1258,16.2,6.22,2.34,0.78,0.55,0.475,0.836,0.358,20390,0,Forward
24,Kevin Love,1014,15.7,9.76,2.26,0.585,0.375,0.432,0.831,0.345,15930,1,Forward-Center
25,CJ McCollum,849,19.8,3.69,3.91,0.912,0.41,0.451,0.78,0.396,16784,0,Guard
26,Karl-Anthony Towns,636,23.1,11.1,3.16,0.808,1.21,0.524,0.838,0.394,14663,0,Center-Forward
27,Al Horford,1133,12.9,7.86,3.19,0.762,1.14,0.506,0.777,0.379,14632,1,Center-Forward
28,Kawhi Leonard,724,20.0,6.35,3.04,1.71,0.645,0.499,0.845,0.389,14494,2,Forward
29,Jeff Green,1493,12.0,4.03,1.48,0.635,0.483,0.452,0.803,0.33,17932,0,Forward
30,Eric Gordon,994,15.1,2.26,2.71,0.824,0.352,0.432,0.808,0.375,14990,0,Guard
31,Andrew Wiggins,872,18.7,4.5,2.38,0.958,0.703,0.45,0.718,0.349,16322,1,Forward
32,Harrison Barnes,1058,14.1,4.78,1.73,0.668,0.181,0.458,0.798,0.381,14886,1,Forward
33,Jayson Tatum,578,23.6,7.33,3.8,1.1,0.657,0.46,0.84,0.378,13618,1,Forward-Guard
34,Julius Randle,700,19.0,9.17,3.8,0.685,0.402,0.474,0.749,0.308,13334,0,Forward-Center
35,Zach LaVine,704,20.9,4.13,4.01,0.882,0.277,0.469,0.83,0.388,14746,0,Guard
36,Donovan Mitchell,533,24.7,4.29,4.67,1.37,0.315,0.448,0.839,0.365,13161,0,Guard
37,Khris Middleton,809,16.5,4.73,3.96,1.15,0.197,0.461,0.873,0.386,13307,1,Forward
38,Joel Embiid,452,27.7,11.0,3.67,0.909,1.63,0.499,0.824,0.341,12523,0,Center-Forward
39,Luka Dončić,478,28.5,8.65,8.22,1.29,0.452,0.464,0.749,0.347,13624,0,Forward-Guard
40,Jonas Valančiūnas,1043,13.2,9.26,1.45,0.411,0.925,0.559,0.8,0.28,13723,0,Center
41,Jordan Clarkson,905,15.7,3.23,2.84,0.793,0.152,0.44,0.826,0.34,14231,0,Guard
42,Trae Young,473,25.3,3.51,9.78,1.04,0.154,0.432,0.871,0.349,11972,0,Guard
43,Dennis Schröder,1044,13.9,2.9,4.95,0.833,0.151,0.428,0.829,0.34,14505,0,Guard
44,De'Aaron Fox,593,21.7,4.01,6.16,1.43,0.415,0.466,0.755,0.325,12858,0,Guard
45,Jaylen Brown,596,19.0,5.34,2.63,1.02,0.383,0.474,0.714,0.358,11313,1,Guard-Forward
46,Andre Drummond,1080,12.6,12.1,1.37,1.28,1.26,0.547,0.506,0.103,13570,0,Center
47,Nicolas Batum,1182,9.75,4.82,3.11,0.907,0.62,0.438,0.809,0.371,11531,1,Guard-Forward
48,Pascal Siakam,700,18.5,6.7,3.68,0.89,0.559,0.507,0.741,0.318,12927,1,Forward
